C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 10000
Overriding: lr_decay_iters = 10000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1573, val loss 4.1551
iter 0: loss 4.1710, time 2826.57ms, mfu -100.00%
iter 1: loss 4.1534, time 47.07ms, mfu -100.00%
iter 2: loss 4.1010, time 47.43ms, mfu -100.00%
iter 3: loss 4.0482, time 47.42ms, mfu -100.00%
iter 4: loss 3.9811, time 53.17ms, mfu -100.00%
iter 5: loss 3.9544, time 41.37ms, mfu 0.03%
iter 6: loss 3.8525, time 47.49ms, mfu 0.03%
iter 7: loss 3.8247, time 47.18ms, mfu 0.03%
iter 8: loss 3.7946, time 47.13ms, mfu 0.03%
iter 9: loss 3.7681, time 47.26ms, mfu 0.03%
iter 10: loss 3.7310, time 47.13ms, mfu 0.03%
iter 11: loss 3.6641, time 47.21ms, mfu 0.03%
iter 12: loss 3.6709, time 47.08ms, mfu 0.03%
iter 13: loss 3.6766, time 31.82ms, mfu 0.03%
iter 14: loss 3.6337, time 47.43ms, mfu 0.03%
iter 15: loss 3.6387, time 47.30ms, mfu 0.03%
iter 16: loss 3.6454, time 47.30ms, mfu 0.03%
iter 17: loss 3.5574, time 46.65ms, mfu 0.03%
iter 18: loss 3.5754, time 47.35ms, mfu 0.03%
iter 19: loss 3.5649, time 47.01ms, mfu 0.03%
iter 20: loss 3.5467, time 47.15ms, mfu 0.03%
iter 21: loss 3.4720, time 47.33ms, mfu 0.03%
iter 22: loss 3.3910, time 47.23ms, mfu 0.03%
iter 23: loss 3.4503, time 47.25ms, mfu 0.03%
iter 24: loss 3.4157, time 47.22ms, mfu 0.03%
iter 25: loss 3.4498, time 47.00ms, mfu 0.03%
iter 26: loss 3.3886, time 31.37ms, mfu 0.03%
iter 27: loss 3.3848, time 46.98ms, mfu 0.03%
iter 28: loss 3.3318, time 46.97ms, mfu 0.03%
iter 29: loss 3.3196, time 46.99ms, mfu 0.03%
iter 30: loss 3.2568, time 47.30ms, mfu 0.03%
iter 31: loss 3.2438, time 47.01ms, mfu 0.03%
iter 32: loss 3.2323, time 47.47ms, mfu 0.03%
iter 33: loss 3.2215, time 47.22ms, mfu 0.03%
iter 34: loss 3.1678, time 47.19ms, mfu 0.03%
iter 35: loss 3.1204, time 47.11ms, mfu 0.03%
iter 36: loss 3.0963, time 47.56ms, mfu 0.03%
iter 37: loss 3.1066, time 31.62ms, mfu 0.03%
iter 38: loss 3.0373, time 47.12ms, mfu 0.03%
iter 39: loss 3.0755, time 53.10ms, mfu 0.03%
iter 40: loss 3.0392, time 41.52ms, mfu 0.03%
iter 41: loss 3.0086, time 47.46ms, mfu 0.03%
iter 42: loss 2.9984, time 55.84ms, mfu 0.03%
iter 43: loss 3.0073, time 39.14ms, mfu 0.03%
iter 44: loss 2.9959, time 47.40ms, mfu 0.03%
iter 45: loss 2.9632, time 47.18ms, mfu 0.03%
iter 46: loss 2.9647, time 47.74ms, mfu 0.03%
iter 47: loss 2.9503, time 38.01ms, mfu 0.03%
iter 48: loss 2.8905, time 56.09ms, mfu 0.03%
iter 49: loss 2.9345, time 47.59ms, mfu 0.03%
iter 50: loss 2.8524, time 50.43ms, mfu 0.03%
iter 51: loss 2.9444, time 59.42ms, mfu 0.03%
iter 52: loss 2.8695, time 47.35ms, mfu 0.03%
iter 53: loss 2.8034, time 47.15ms, mfu 0.03%
iter 54: loss 2.8536, time 47.16ms, mfu 0.03%
iter 55: loss 2.9009, time 31.50ms, mfu 0.03%
iter 56: loss 2.8535, time 47.30ms, mfu 0.03%
iter 57: loss 2.8574, time 47.54ms, mfu 0.03%
iter 58: loss 2.8353, time 47.32ms, mfu 0.03%
iter 59: loss 2.7691, time 47.26ms, mfu 0.03%
iter 60: loss 2.8185, time 70.64ms, mfu 0.03%
iter 61: loss 2.8172, time 39.65ms, mfu 0.03%
iter 62: loss 2.7707, time 63.18ms, mfu 0.03%
iter 63: loss 2.7870, time 47.61ms, mfu 0.03%
iter 64: loss 2.7107, time 47.36ms, mfu 0.03%
iter 65: loss 2.8076, time 62.88ms, mfu 0.03%
iter 66: loss 2.7374, time 47.27ms, mfu 0.03%
iter 67: loss 2.7378, time 47.36ms, mfu 0.03%
iter 68: loss 2.6838, time 47.32ms, mfu 0.03%
iter 69: loss 2.7509, time 63.33ms, mfu 0.03%
iter 70: loss 2.7313, time 47.37ms, mfu 0.03%
iter 71: loss 2.6938, time 63.15ms, mfu 0.03%
iter 72: loss 2.6786, time 47.20ms, mfu 0.03%
