C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 10000
Overriding: lr_decay_iters = 10000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1691, val loss 4.1663
iter 0: loss 4.1824, time 13140.71ms, mfu -100.00%
iter 1: loss 4.1679, time 62.81ms, mfu -100.00%
iter 2: loss 4.1242, time 62.96ms, mfu -100.00%
iter 3: loss 4.0720, time 47.67ms, mfu -100.00%
iter 4: loss 4.0071, time 62.87ms, mfu -100.00%
iter 5: loss 3.9755, time 78.93ms, mfu 0.02%
iter 6: loss 3.8670, time 47.11ms, mfu 0.02%
iter 7: loss 3.8313, time 66.51ms, mfu 0.02%
iter 8: loss 3.7974, time 60.46ms, mfu 0.02%
iter 9: loss 3.7660, time 65.57ms, mfu 0.02%
iter 10: loss 3.7253, time 60.38ms, mfu 0.02%
iter 11: loss 3.6559, time 67.70ms, mfu 0.02%
iter 12: loss 3.6620, time 73.79ms, mfu 0.02%
iter 13: loss 3.6668, time 62.79ms, mfu 0.02%
iter 14: loss 3.6240, time 63.03ms, mfu 0.02%
iter 15: loss 3.6259, time 63.29ms, mfu 0.02%
iter 16: loss 3.6277, time 63.01ms, mfu 0.02%
iter 17: loss 3.5392, time 47.50ms, mfu 0.02%
iter 18: loss 3.5491, time 63.48ms, mfu 0.02%
iter 19: loss 3.5377, time 63.17ms, mfu 0.02%
iter 20: loss 3.5151, time 79.36ms, mfu 0.02%
iter 21: loss 3.4540, time 63.04ms, mfu 0.02%
iter 22: loss 3.3886, time 63.01ms, mfu 0.02%
iter 23: loss 3.4399, time 62.80ms, mfu 0.02%
iter 24: loss 3.3876, time 62.71ms, mfu 0.02%
iter 25: loss 3.4118, time 47.39ms, mfu 0.02%
iter 26: loss 3.3648, time 47.25ms, mfu 0.02%
iter 27: loss 3.3706, time 63.09ms, mfu 0.02%
iter 28: loss 3.3176, time 78.62ms, mfu 0.02%
iter 29: loss 3.3113, time 63.00ms, mfu 0.02%
iter 30: loss 3.2480, time 62.92ms, mfu 0.02%
iter 31: loss 3.2367, time 78.82ms, mfu 0.02%
iter 32: loss 3.2072, time 78.68ms, mfu 0.02%
iter 33: loss 3.2207, time 94.27ms, mfu 0.02%
iter 34: loss 3.1661, time 78.49ms, mfu 0.02%
iter 35: loss 3.1209, time 78.72ms, mfu 0.02%
iter 36: loss 3.0928, time 78.43ms, mfu 0.02%
iter 37: loss 3.1078, time 62.81ms, mfu 0.02%
iter 38: loss 3.0378, time 78.31ms, mfu 0.02%
iter 39: loss 3.0776, time 94.30ms, mfu 0.02%
iter 40: loss 3.0459, time 62.83ms, mfu 0.02%
iter 41: loss 3.0151, time 78.51ms, mfu 0.02%
iter 42: loss 3.0026, time 63.50ms, mfu 0.02%
iter 43: loss 3.0085, time 78.39ms, mfu 0.02%
iter 44: loss 2.9997, time 78.67ms, mfu 0.02%
iter 45: loss 2.9555, time 79.49ms, mfu 0.02%
iter 46: loss 2.9620, time 78.69ms, mfu 0.02%
iter 47: loss 2.9516, time 78.59ms, mfu 0.02%
iter 48: loss 2.8852, time 78.42ms, mfu 0.02%
iter 49: loss 2.9444, time 79.06ms, mfu 0.02%
iter 50: loss 2.8546, time 78.35ms, mfu 0.02%
iter 51: loss 2.9439, time 78.47ms, mfu 0.02%
iter 52: loss 2.8785, time 94.16ms, mfu 0.02%
iter 53: loss 2.8100, time 94.51ms, mfu 0.02%
iter 54: loss 2.8530, time 78.59ms, mfu 0.02%
iter 55: loss 2.9205, time 78.72ms, mfu 0.02%
iter 56: loss 2.8612, time 78.73ms, mfu 0.02%
iter 57: loss 2.8647, time 94.31ms, mfu 0.02%
iter 58: loss 2.8422, time 62.84ms, mfu 0.02%
iter 59: loss 2.7796, time 78.84ms, mfu 0.02%
iter 60: loss 2.8231, time 78.95ms, mfu 0.02%
iter 61: loss 2.8247, time 159.26ms, mfu 0.02%
iter 62: loss 2.7804, time 171.05ms, mfu 0.01%
iter 63: loss 2.7915, time 93.68ms, mfu 0.01%
iter 64: loss 2.7233, time 88.11ms, mfu 0.01%
iter 65: loss 2.8149, time 84.17ms, mfu 0.01%
iter 66: loss 2.7555, time 80.62ms, mfu 0.01%
iter 67: loss 2.7536, time 81.88ms, mfu 0.01%
iter 68: loss 2.7067, time 82.05ms, mfu 0.01%
iter 69: loss 2.7772, time 68.15ms, mfu 0.02%
iter 70: loss 2.7501, time 94.34ms, mfu 0.02%
iter 71: loss 2.7055, time 78.61ms, mfu 0.02%
iter 72: loss 2.6869, time 78.74ms, mfu 0.02%
