C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPT\train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 10000
Overriding: lr_decay_iters = 10000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1700, val loss 4.1664
iter 0: loss 4.1828, time 9325.80ms, mfu -100.00%
iter 1: loss 4.1719, time 94.96ms, mfu -100.00%
iter 2: loss 4.1268, time 94.31ms, mfu -100.00%
iter 3: loss 4.0749, time 94.19ms, mfu -100.00%
iter 4: loss 4.0140, time 94.39ms, mfu -100.00%
iter 5: loss 3.9841, time 93.99ms, mfu 0.01%
iter 6: loss 3.8825, time 93.86ms, mfu 0.01%
iter 7: loss 3.8465, time 94.28ms, mfu 0.01%
iter 8: loss 3.8132, time 94.32ms, mfu 0.01%
iter 9: loss 3.7827, time 94.34ms, mfu 0.01%
iter 10: loss 3.7423, time 94.14ms, mfu 0.01%
iter 11: loss 3.6746, time 94.47ms, mfu 0.01%
iter 12: loss 3.6807, time 94.40ms, mfu 0.01%
iter 13: loss 3.6864, time 94.48ms, mfu 0.01%
iter 14: loss 3.6433, time 94.21ms, mfu 0.01%
iter 15: loss 3.6479, time 94.28ms, mfu 0.01%
iter 16: loss 3.6579, time 94.20ms, mfu 0.01%
iter 17: loss 3.5728, time 94.12ms, mfu 0.01%
iter 18: loss 3.5950, time 93.95ms, mfu 0.01%
iter 19: loss 3.5856, time 96.31ms, mfu 0.01%
iter 20: loss 3.5731, time 92.01ms, mfu 0.01%
iter 21: loss 3.5092, time 94.19ms, mfu 0.01%
iter 22: loss 3.4293, time 94.47ms, mfu 0.01%
iter 23: loss 3.4688, time 94.36ms, mfu 0.01%
iter 24: loss 3.4222, time 94.06ms, mfu 0.01%
iter 25: loss 3.4681, time 109.72ms, mfu 0.01%
iter 26: loss 3.4038, time 94.39ms, mfu 0.01%
iter 27: loss 3.4029, time 94.19ms, mfu 0.01%
iter 28: loss 3.3491, time 94.09ms, mfu 0.01%
iter 29: loss 3.3399, time 92.94ms, mfu 0.01%
iter 30: loss 3.2699, time 96.45ms, mfu 0.01%
iter 31: loss 3.2578, time 93.07ms, mfu 0.01%
iter 32: loss 3.2346, time 105.27ms, mfu 0.01%
iter 33: loss 3.2384, time 99.94ms, mfu 0.01%
iter 34: loss 3.1776, time 110.01ms, mfu 0.01%
iter 35: loss 3.1371, time 94.26ms, mfu 0.01%
iter 36: loss 3.1131, time 94.36ms, mfu 0.01%
iter 37: loss 3.1235, time 94.19ms, mfu 0.01%
iter 38: loss 3.0521, time 94.29ms, mfu 0.01%
iter 39: loss 3.0880, time 94.21ms, mfu 0.01%
iter 40: loss 3.0540, time 94.09ms, mfu 0.01%
iter 41: loss 3.0277, time 93.93ms, mfu 0.01%
iter 42: loss 3.0145, time 94.27ms, mfu 0.01%
iter 43: loss 3.0172, time 94.05ms, mfu 0.01%
iter 44: loss 3.0083, time 94.74ms, mfu 0.01%
iter 45: loss 2.9739, time 94.02ms, mfu 0.01%
iter 46: loss 2.9742, time 94.67ms, mfu 0.01%
iter 47: loss 2.9572, time 109.79ms, mfu 0.01%
iter 48: loss 2.9043, time 78.32ms, mfu 0.01%
iter 49: loss 2.9503, time 109.63ms, mfu 0.01%
iter 50: loss 2.8675, time 94.83ms, mfu 0.01%
iter 51: loss 2.9550, time 94.12ms, mfu 0.01%
iter 52: loss 2.8867, time 94.26ms, mfu 0.01%
iter 53: loss 2.8188, time 95.69ms, mfu 0.01%
iter 54: loss 2.8642, time 92.79ms, mfu 0.01%
iter 55: loss 2.9256, time 96.28ms, mfu 0.01%
iter 56: loss 2.8667, time 92.16ms, mfu 0.01%
iter 57: loss 2.8693, time 94.15ms, mfu 0.01%
iter 58: loss 2.8431, time 94.15ms, mfu 0.01%
iter 59: loss 2.7873, time 94.23ms, mfu 0.01%
iter 60: loss 2.8278, time 109.77ms, mfu 0.01%
iter 61: loss 2.8244, time 79.22ms, mfu 0.01%
iter 62: loss 2.7812, time 93.93ms, mfu 0.01%
iter 63: loss 2.7923, time 94.24ms, mfu 0.01%
iter 64: loss 2.7303, time 110.09ms, mfu 0.01%
iter 65: loss 2.8215, time 94.26ms, mfu 0.01%
iter 66: loss 2.7559, time 94.24ms, mfu 0.01%
iter 67: loss 2.7495, time 94.28ms, mfu 0.01%
iter 68: loss 2.7031, time 94.32ms, mfu 0.01%
iter 69: loss 2.7722, time 94.50ms, mfu 0.01%
iter 70: loss 2.7462, time 94.71ms, mfu 0.01%
iter 71: loss 2.7086, time 94.28ms, mfu 0.01%
iter 72: loss 2.6895, time 94.39ms, mfu 0.01%
