C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV9\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1980, val loss 4.1943
iter 0: loss 4.2027, time 16526.11ms, mfu -100.00%
iter 1: loss 4.1835, time 254.85ms, mfu -100.00%
iter 2: loss 4.1621, time 206.62ms, mfu -100.00%
iter 3: loss 4.1030, time 207.07ms, mfu -100.00%
iter 4: loss 4.0673, time 175.68ms, mfu -100.00%
iter 5: loss 4.0049, time 221.91ms, mfu 0.01%
iter 6: loss 3.9029, time 270.47ms, mfu 0.01%
iter 7: loss 3.8437, time 47.20ms, mfu 0.01%
iter 8: loss 3.8086, time 62.62ms, mfu 0.01%
iter 9: loss 3.7991, time 47.48ms, mfu 0.01%
iter 10: loss 3.7928, time 62.76ms, mfu 0.01%
iter 11: loss 3.7357, time 47.68ms, mfu 0.01%
iter 12: loss 3.7186, time 63.12ms, mfu 0.01%
iter 13: loss 3.7100, time 63.08ms, mfu 0.01%
iter 14: loss 3.6821, time 47.55ms, mfu 0.02%
iter 15: loss 3.6291, time 47.11ms, mfu 0.02%
iter 16: loss 3.6138, time 47.21ms, mfu 0.02%
iter 17: loss 3.5839, time 47.00ms, mfu 0.02%
iter 18: loss 3.6354, time 47.10ms, mfu 0.02%
iter 19: loss 3.5724, time 47.37ms, mfu 0.02%
iter 20: loss 3.5223, time 47.06ms, mfu 0.02%
iter 21: loss 3.5382, time 46.98ms, mfu 0.02%
iter 22: loss 3.4722, time 31.69ms, mfu 0.02%
iter 23: loss 3.4705, time 47.25ms, mfu 0.02%
iter 24: loss 3.4915, time 47.29ms, mfu 0.02%
iter 25: loss 3.4102, time 47.03ms, mfu 0.02%
iter 26: loss 3.3300, time 47.17ms, mfu 0.02%
iter 27: loss 3.3732, time 47.16ms, mfu 0.02%
iter 28: loss 3.3621, time 47.42ms, mfu 0.03%
iter 29: loss 3.2766, time 63.56ms, mfu 0.02%
iter 30: loss 3.2835, time 47.45ms, mfu 0.02%
iter 31: loss 3.2541, time 63.32ms, mfu 0.02%
iter 32: loss 3.2032, time 47.32ms, mfu 0.02%
iter 33: loss 3.2345, time 47.17ms, mfu 0.02%
iter 34: loss 3.1726, time 47.13ms, mfu 0.03%
iter 35: loss 3.0900, time 48.35ms, mfu 0.03%
iter 36: loss 3.1194, time 52.18ms, mfu 0.03%
iter 37: loss 3.1497, time 41.25ms, mfu 0.03%
iter 38: loss 3.0647, time 63.01ms, mfu 0.03%
iter 39: loss 3.0611, time 47.36ms, mfu 0.03%
iter 40: loss 3.0464, time 62.63ms, mfu 0.02%
iter 41: loss 2.9571, time 47.02ms, mfu 0.03%
iter 42: loss 2.9795, time 62.89ms, mfu 0.02%
iter 43: loss 3.0058, time 47.15ms, mfu 0.02%
iter 44: loss 2.9704, time 62.82ms, mfu 0.02%
iter 45: loss 3.0133, time 47.39ms, mfu 0.02%
iter 46: loss 2.8884, time 62.77ms, mfu 0.02%
iter 47: loss 3.0133, time 47.82ms, mfu 0.02%
iter 48: loss 2.9101, time 62.80ms, mfu 0.02%
iter 49: loss 2.8881, time 47.45ms, mfu 0.02%
iter 50: loss 2.8841, time 63.28ms, mfu 0.02%
iter 51: loss 2.8145, time 47.14ms, mfu 0.02%
iter 52: loss 2.7977, time 63.29ms, mfu 0.02%
iter 53: loss 2.8434, time 47.00ms, mfu 0.02%
iter 54: loss 2.8523, time 47.56ms, mfu 0.02%
iter 55: loss 2.8133, time 46.99ms, mfu 0.02%
iter 56: loss 2.8111, time 47.07ms, mfu 0.02%
iter 57: loss 2.8555, time 47.15ms, mfu 0.03%
iter 58: loss 2.7984, time 47.17ms, mfu 0.03%
iter 59: loss 2.7712, time 47.04ms, mfu 0.03%
iter 60: loss 2.8908, time 47.03ms, mfu 0.03%
iter 61: loss 2.7986, time 47.23ms, mfu 0.03%
iter 62: loss 2.6985, time 47.47ms, mfu 0.03%
iter 63: loss 2.7598, time 62.90ms, mfu 0.03%
iter 64: loss 2.7638, time 47.54ms, mfu 0.03%
iter 65: loss 2.7313, time 53.23ms, mfu 0.03%
iter 66: loss 2.6962, time 72.70ms, mfu 0.02%
iter 67: loss 2.7305, time 47.11ms, mfu 0.02%
iter 68: loss 2.7250, time 47.03ms, mfu 0.02%
iter 69: loss 2.7165, time 63.17ms, mfu 0.02%
iter 70: loss 2.6633, time 95.13ms, mfu 0.02%
iter 71: loss 2.6791, time 68.82ms, mfu 0.02%
iter 72: loss 2.6649, time 73.08ms, mfu 0.02%
