C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV9\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 192
Overriding: max_iters = 4000
Overriding: lr_decay_iters = 4000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 2.67M
num decayed parameter tensors: 26, with 2,691,264 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
using fused AdamW: False
step 0: train loss 4.2159, val loss 4.2115
iter 0: loss 4.2188, time 86585.49ms, mfu -100.00%
iter 1: loss 4.1765, time 1494.92ms, mfu -100.00%
iter 2: loss 4.0875, time 1773.46ms, mfu -100.00%
iter 3: loss 3.9800, time 1665.65ms, mfu -100.00%
iter 4: loss 3.8405, time 1683.76ms, mfu -100.00%
iter 5: loss 3.7146, time 1671.87ms, mfu 0.01%
iter 6: loss 3.6444, time 1634.58ms, mfu 0.01%
iter 7: loss 3.5703, time 1544.98ms, mfu 0.01%
iter 8: loss 3.5372, time 1759.89ms, mfu 0.01%
iter 9: loss 3.5113, time 1706.34ms, mfu 0.01%
iter 10: loss 3.5153, time 1697.36ms, mfu 0.01%
iter 11: loss 3.4845, time 1703.63ms, mfu 0.01%
iter 12: loss 3.4132, time 1505.26ms, mfu 0.01%
iter 13: loss 3.3671, time 1731.76ms, mfu 0.01%
iter 14: loss 3.3364, time 1638.20ms, mfu 0.01%
iter 15: loss 3.2754, time 1696.07ms, mfu 0.01%
iter 16: loss 3.2371, time 1648.36ms, mfu 0.01%
iter 17: loss 3.2139, time 1577.41ms, mfu 0.01%
iter 18: loss 3.1888, time 1626.10ms, mfu 0.01%
iter 19: loss 3.1515, time 1733.85ms, mfu 0.01%
iter 20: loss 3.0976, time 1745.11ms, mfu 0.01%
iter 21: loss 3.0587, time 1688.29ms, mfu 0.01%
iter 22: loss 3.0529, time 1737.75ms, mfu 0.01%
iter 23: loss 3.0492, time 1499.95ms, mfu 0.01%
iter 24: loss 3.0221, time 1764.24ms, mfu 0.01%
iter 25: loss 2.9954, time 1725.35ms, mfu 0.01%
iter 26: loss 2.9737, time 1626.88ms, mfu 0.01%
iter 27: loss 2.9069, time 1733.32ms, mfu 0.01%
iter 28: loss 2.9008, time 1575.48ms, mfu 0.01%
iter 29: loss 2.8868, time 1693.46ms, mfu 0.01%
iter 30: loss 2.8625, time 1720.29ms, mfu 0.01%
