C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPT\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.80M
num decayed parameter tensors: 18, with 802,944 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.2073, val loss 4.2029
iter 0: loss 4.2037, time 2570.17ms, mfu -100.00%
iter 1: loss 4.1920, time 50.47ms, mfu -100.00%
iter 2: loss 4.1725, time 44.32ms, mfu -100.00%
iter 3: loss 4.1018, time 47.28ms, mfu -100.00%
iter 4: loss 4.0651, time 47.06ms, mfu -100.00%
iter 5: loss 4.0081, time 31.52ms, mfu 0.04%
iter 6: loss 3.9049, time 47.21ms, mfu 0.04%
iter 7: loss 3.8477, time 31.46ms, mfu 0.04%
iter 8: loss 3.8144, time 47.92ms, mfu 0.04%
iter 9: loss 3.8058, time 47.40ms, mfu 0.04%
iter 10: loss 3.8004, time 31.67ms, mfu 0.04%
iter 11: loss 3.7401, time 47.12ms, mfu 0.04%
iter 12: loss 3.7232, time 47.34ms, mfu 0.04%
iter 13: loss 3.7155, time 47.09ms, mfu 0.03%
iter 14: loss 3.6860, time 31.76ms, mfu 0.03%
iter 15: loss 3.6341, time 47.39ms, mfu 0.03%
iter 16: loss 3.6192, time 47.04ms, mfu 0.03%
iter 17: loss 3.5884, time 31.41ms, mfu 0.03%
iter 18: loss 3.6398, time 46.95ms, mfu 0.03%
iter 19: loss 3.5767, time 47.14ms, mfu 0.03%
iter 20: loss 3.5293, time 31.40ms, mfu 0.03%
iter 21: loss 3.5450, time 47.00ms, mfu 0.03%
iter 22: loss 3.4770, time 47.02ms, mfu 0.03%
iter 23: loss 3.4807, time 31.76ms, mfu 0.03%
iter 24: loss 3.4997, time 47.25ms, mfu 0.03%
iter 25: loss 3.4146, time 38.60ms, mfu 0.03%
iter 26: loss 3.3404, time 39.89ms, mfu 0.03%
iter 27: loss 3.3832, time 31.44ms, mfu 0.03%
iter 28: loss 3.3708, time 47.19ms, mfu 0.03%
iter 29: loss 3.2820, time 31.61ms, mfu 0.03%
iter 30: loss 3.2913, time 31.44ms, mfu 0.03%
iter 31: loss 3.2639, time 47.19ms, mfu 0.03%
iter 32: loss 3.2113, time 31.46ms, mfu 0.03%
iter 33: loss 3.2431, time 47.00ms, mfu 0.03%
iter 34: loss 3.1781, time 31.37ms, mfu 0.03%
iter 35: loss 3.1014, time 31.41ms, mfu 0.03%
iter 36: loss 3.1295, time 47.33ms, mfu 0.03%
iter 37: loss 3.1570, time 47.14ms, mfu 0.03%
iter 38: loss 3.0739, time 31.48ms, mfu 0.03%
iter 39: loss 3.0727, time 47.14ms, mfu 0.03%
iter 40: loss 3.0534, time 31.55ms, mfu 0.03%
iter 41: loss 2.9701, time 47.33ms, mfu 0.03%
iter 42: loss 2.9909, time 31.41ms, mfu 0.03%
iter 43: loss 3.0146, time 47.27ms, mfu 0.03%
iter 44: loss 2.9784, time 31.51ms, mfu 0.03%
iter 45: loss 3.0278, time 47.39ms, mfu 0.03%
iter 46: loss 2.8974, time 31.07ms, mfu 0.03%
iter 47: loss 3.0254, time 47.78ms, mfu 0.03%
iter 48: loss 2.9242, time 53.51ms, mfu 0.03%
iter 49: loss 2.9045, time 41.33ms, mfu 0.03%
iter 50: loss 2.9022, time 38.43ms, mfu 0.03%
iter 51: loss 2.8291, time 40.27ms, mfu 0.03%
iter 52: loss 2.8042, time 31.74ms, mfu 0.03%
iter 53: loss 2.8532, time 47.50ms, mfu 0.03%
iter 54: loss 2.8640, time 47.18ms, mfu 0.03%
iter 55: loss 2.8254, time 31.96ms, mfu 0.03%
iter 56: loss 2.8221, time 47.14ms, mfu 0.03%
iter 57: loss 2.8695, time 47.22ms, mfu 0.03%
iter 58: loss 2.8071, time 31.45ms, mfu 0.03%
iter 59: loss 2.7863, time 47.19ms, mfu 0.03%
iter 60: loss 2.9015, time 31.53ms, mfu 0.03%
iter 61: loss 2.8116, time 47.16ms, mfu 0.03%
iter 62: loss 2.7134, time 31.71ms, mfu 0.03%
iter 63: loss 2.7669, time 47.11ms, mfu 0.03%
iter 64: loss 2.7766, time 31.37ms, mfu 0.03%
iter 65: loss 2.7446, time 31.53ms, mfu 0.03%
iter 66: loss 2.7031, time 46.94ms, mfu 0.03%
iter 67: loss 2.7372, time 31.46ms, mfu 0.03%
iter 68: loss 2.7333, time 47.02ms, mfu 0.03%
iter 69: loss 2.7276, time 31.45ms, mfu 0.03%
iter 70: loss 2.6662, time 47.27ms, mfu 0.03%
iter 71: loss 2.6848, time 31.36ms, mfu 0.03%
iter 72: loss 2.6688, time 31.30ms, mfu 0.03%
