C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 8
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 6.31M
num decayed parameter tensors: 34, with 6,340,864 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: False
step 0: train loss 4.2514, val loss 4.2485
iter 0: loss 4.2444, time 42415.29ms, mfu -100.00%
iter 1: loss 4.1161, time 490.18ms, mfu -100.00%
iter 2: loss 3.9076, time 459.69ms, mfu -100.00%
iter 3: loss 3.7319, time 1645.55ms, mfu -100.00%
iter 4: loss 3.5871, time 1609.52ms, mfu -100.00%
iter 5: loss 3.4895, time 1607.13ms, mfu 0.03%
iter 6: loss 3.4160, time 1623.17ms, mfu 0.03%
iter 7: loss 3.3543, time 1644.05ms, mfu 0.03%
iter 8: loss 3.3637, time 1667.07ms, mfu 0.02%
iter 9: loss 3.2940, time 1591.59ms, mfu 0.03%
iter 10: loss 3.2337, time 1639.67ms, mfu 0.02%
iter 11: loss 3.1437, time 537.99ms, mfu 0.03%
iter 12: loss 3.0983, time 489.43ms, mfu 0.04%
iter 13: loss 3.0381, time 491.80ms, mfu 0.04%
iter 14: loss 3.0702, time 539.29ms, mfu 0.04%
iter 15: loss 3.0766, time 504.83ms, mfu 0.05%
iter 16: loss 2.9771, time 540.41ms, mfu 0.05%
iter 17: loss 2.9945, time 506.66ms, mfu 0.05%
iter 18: loss 2.9265, time 492.15ms, mfu 0.06%
iter 19: loss 2.9228, time 681.53ms, mfu 0.06%
iter 20: loss 2.8798, time 618.81ms, mfu 0.06%
iter 21: loss 2.8799, time 476.46ms, mfu 0.06%
iter 22: loss 2.8099, time 442.53ms, mfu 0.06%
iter 23: loss 2.8521, time 443.08ms, mfu 0.07%
iter 24: loss 2.8227, time 458.25ms, mfu 0.07%
iter 25: loss 2.7865, time 473.14ms, mfu 0.07%
iter 26: loss 2.7683, time 458.79ms, mfu 0.07%
iter 27: loss 2.7595, time 457.89ms, mfu 0.07%
iter 28: loss 2.6961, time 442.79ms, mfu 0.08%
iter 29: loss 2.7200, time 443.68ms, mfu 0.08%
iter 30: loss 2.7301, time 459.22ms, mfu 0.08%
iter 31: loss 2.7247, time 442.27ms, mfu 0.08%
