C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPT\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 6
Overriding: n_head = 6
Overriding: n_embd = 192
Overriding: max_iters = 4000
Overriding: lr_decay_iters = 4000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 2.67M
num decayed parameter tensors: 26, with 2,691,264 parameters
num non-decayed parameter tensors: 13, with 2,496 parameters
using fused AdamW: False
step 0: train loss 4.2208, val loss 4.2153
iter 0: loss 4.2247, time 30043.28ms, mfu -100.00%
iter 1: loss 4.1690, time 561.58ms, mfu -100.00%
iter 2: loss 4.0629, time 528.19ms, mfu -100.00%
iter 3: loss 3.9402, time 526.77ms, mfu -100.00%
iter 4: loss 3.8080, time 553.80ms, mfu -100.00%
iter 5: loss 3.6978, time 555.50ms, mfu 0.03%
iter 6: loss 3.6421, time 530.49ms, mfu 0.03%
iter 7: loss 3.5727, time 533.65ms, mfu 0.03%
iter 8: loss 3.5445, time 531.75ms, mfu 0.03%
iter 9: loss 3.5235, time 532.28ms, mfu 0.03%
iter 10: loss 3.5322, time 547.65ms, mfu 0.03%
iter 11: loss 3.5065, time 534.71ms, mfu 0.03%
iter 12: loss 3.4420, time 523.13ms, mfu 0.03%
iter 13: loss 3.3952, time 543.46ms, mfu 0.03%
iter 14: loss 3.3578, time 535.66ms, mfu 0.03%
iter 15: loss 3.2989, time 526.92ms, mfu 0.03%
iter 16: loss 3.2552, time 552.04ms, mfu 0.03%
iter 17: loss 3.2311, time 514.39ms, mfu 0.03%
iter 18: loss 3.2052, time 515.39ms, mfu 0.03%
iter 19: loss 3.1689, time 478.01ms, mfu 0.03%
iter 20: loss 3.1150, time 472.41ms, mfu 0.03%
iter 21: loss 3.0689, time 481.66ms, mfu 0.03%
iter 22: loss 3.0707, time 477.41ms, mfu 0.03%
iter 23: loss 3.0618, time 556.90ms, mfu 0.03%
iter 24: loss 3.0383, time 552.75ms, mfu 0.03%
iter 25: loss 3.0104, time 546.92ms, mfu 0.03%
iter 26: loss 2.9859, time 538.12ms, mfu 0.03%
iter 27: loss 2.9190, time 539.55ms, mfu 0.03%
iter 28: loss 2.9142, time 519.38ms, mfu 0.03%
iter 29: loss 2.8999, time 535.87ms, mfu 0.03%
iter 30: loss 2.8750, time 536.83ms, mfu 0.03%
iter 31: loss 2.8942, time 537.88ms, mfu 0.03%
