C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLU\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.86M
num decayed parameter tensors: 18, with 868,480 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1844, val loss 4.1820
iter 0: loss 4.1765, time 12271.51ms, mfu -100.00%
iter 1: loss 4.1661, time 47.41ms, mfu -100.00%
iter 2: loss 4.1711, time 47.26ms, mfu -100.00%
iter 3: loss 4.1254, time 47.20ms, mfu -100.00%
iter 4: loss 4.1091, time 47.37ms, mfu -100.00%
iter 5: loss 4.0844, time 65.31ms, mfu 0.02%
iter 6: loss 4.0206, time 61.33ms, mfu 0.02%
iter 7: loss 3.9892, time 62.87ms, mfu 0.02%
iter 8: loss 3.9119, time 63.24ms, mfu 0.02%
iter 9: loss 3.8741, time 62.90ms, mfu 0.02%
iter 10: loss 3.8253, time 48.05ms, mfu 0.02%
iter 11: loss 3.8065, time 47.25ms, mfu 0.02%
iter 12: loss 3.7738, time 62.99ms, mfu 0.02%
iter 13: loss 3.7189, time 47.05ms, mfu 0.02%
iter 14: loss 3.7386, time 47.02ms, mfu 0.02%
iter 15: loss 3.6816, time 63.26ms, mfu 0.02%
iter 16: loss 3.6202, time 47.35ms, mfu 0.02%
iter 17: loss 3.6584, time 62.93ms, mfu 0.02%
iter 18: loss 3.6329, time 47.29ms, mfu 0.02%
iter 19: loss 3.5960, time 47.21ms, mfu 0.02%
iter 20: loss 3.5810, time 47.43ms, mfu 0.03%
iter 21: loss 3.5698, time 78.90ms, mfu 0.02%
iter 22: loss 3.5949, time 95.09ms, mfu 0.02%
iter 23: loss 3.4895, time 223.36ms, mfu 0.02%
iter 24: loss 3.5892, time 239.32ms, mfu 0.02%
iter 25: loss 3.5045, time 254.28ms, mfu 0.02%
iter 26: loss 3.5291, time 239.73ms, mfu 0.02%
iter 27: loss 3.5099, time 238.57ms, mfu 0.02%
iter 28: loss 3.5608, time 238.30ms, mfu 0.02%
iter 29: loss 3.4523, time 237.77ms, mfu 0.01%
iter 30: loss 3.4739, time 142.98ms, mfu 0.01%
iter 31: loss 3.4118, time 94.75ms, mfu 0.01%
iter 32: loss 3.3861, time 110.54ms, mfu 0.01%
iter 33: loss 3.4224, time 109.92ms, mfu 0.01%
iter 34: loss 3.5157, time 127.90ms, mfu 0.01%
iter 35: loss 3.3611, time 206.74ms, mfu 0.01%
iter 36: loss 3.3819, time 254.76ms, mfu 0.01%
iter 37: loss 3.3508, time 254.59ms, mfu 0.01%
iter 38: loss 3.3321, time 239.02ms, mfu 0.01%
iter 39: loss 3.4301, time 269.48ms, mfu 0.01%
iter 40: loss 3.3345, time 238.88ms, mfu 0.01%
iter 41: loss 3.3041, time 238.77ms, mfu 0.01%
iter 42: loss 3.3169, time 237.67ms, mfu 0.01%
iter 43: loss 3.1556, time 269.87ms, mfu 0.01%
iter 44: loss 3.1532, time 238.21ms, mfu 0.01%
iter 45: loss 3.1452, time 238.53ms, mfu 0.01%
iter 46: loss 3.1087, time 207.07ms, mfu 0.01%
iter 47: loss 3.0812, time 238.72ms, mfu 0.01%
iter 48: loss 3.1045, time 222.11ms, mfu 0.01%
iter 49: loss 3.0227, time 254.81ms, mfu 0.01%
iter 50: loss 3.0416, time 254.19ms, mfu 0.01%
iter 51: loss 3.0359, time 237.68ms, mfu 0.01%
iter 52: loss 3.0210, time 159.59ms, mfu 0.01%
iter 53: loss 2.9195, time 254.54ms, mfu 0.01%
iter 54: loss 2.9030, time 252.26ms, mfu 0.01%
iter 55: loss 2.9583, time 254.33ms, mfu 0.01%
iter 56: loss 2.8717, time 254.68ms, mfu 0.01%
iter 57: loss 2.9212, time 222.53ms, mfu 0.01%
iter 58: loss 2.9498, time 253.99ms, mfu 0.01%
iter 59: loss 2.8403, time 222.11ms, mfu 0.01%
iter 60: loss 2.9160, time 238.27ms, mfu 0.01%
iter 61: loss 2.9364, time 254.30ms, mfu 0.01%
iter 62: loss 2.7983, time 221.74ms, mfu 0.01%
iter 63: loss 2.8064, time 239.15ms, mfu 0.01%
iter 64: loss 2.7148, time 223.12ms, mfu 0.01%
iter 65: loss 2.8681, time 238.23ms, mfu 0.01%
iter 66: loss 2.8797, time 238.60ms, mfu 0.01%
iter 67: loss 2.8543, time 222.02ms, mfu 0.01%
iter 68: loss 2.8191, time 206.98ms, mfu 0.01%
iter 69: loss 2.7539, time 237.17ms, mfu 0.01%
iter 70: loss 2.7147, time 238.66ms, mfu 0.01%
iter 71: loss 2.7436, time 254.73ms, mfu 0.01%
iter 72: loss 2.7178, time 237.16ms, mfu 0.01%
