C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLU\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 8
Overriding: n_head = 8
Overriding: n_embd = 256
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 6.44M
num decayed parameter tensors: 34, with 6,471,936 parameters
num non-decayed parameter tensors: 17, with 4,352 parameters
using fused AdamW: False
step 0: train loss 4.2667, val loss 4.2569
iter 0: loss 4.2708, time 82241.89ms, mfu -100.00%
iter 1: loss 4.1730, time 474.07ms, mfu -100.00%
iter 2: loss 4.0010, time 491.05ms, mfu -100.00%
iter 3: loss 3.8452, time 475.92ms, mfu -100.00%
iter 4: loss 3.7260, time 492.03ms, mfu -100.00%
iter 5: loss 3.6219, time 490.04ms, mfu 0.08%
iter 6: loss 3.5847, time 475.73ms, mfu 0.08%
iter 7: loss 3.5366, time 492.61ms, mfu 0.08%
iter 8: loss 3.5100, time 489.49ms, mfu 0.08%
iter 9: loss 3.4906, time 475.85ms, mfu 0.08%
iter 10: loss 3.4474, time 507.32ms, mfu 0.08%
iter 11: loss 3.4371, time 482.33ms, mfu 0.08%
iter 12: loss 3.4154, time 486.33ms, mfu 0.08%
iter 13: loss 3.4034, time 474.35ms, mfu 0.08%
iter 14: loss 3.3792, time 490.84ms, mfu 0.08%
iter 15: loss 3.3400, time 489.37ms, mfu 0.08%
iter 16: loss 3.2837, time 490.21ms, mfu 0.08%
iter 17: loss 3.7684, time 474.01ms, mfu 0.08%
iter 18: loss 3.1977, time 490.89ms, mfu 0.08%
iter 19: loss 3.1864, time 475.02ms, mfu 0.08%
iter 20: loss 3.1326, time 491.38ms, mfu 0.08%
iter 21: loss 3.1031, time 475.64ms, mfu 0.08%
iter 22: loss 3.0155, time 489.84ms, mfu 0.08%
iter 23: loss 2.9799, time 474.53ms, mfu 0.08%
iter 24: loss 2.9565, time 506.77ms, mfu 0.08%
iter 25: loss 2.9677, time 474.31ms, mfu 0.08%
iter 26: loss 2.9164, time 500.62ms, mfu 0.08%
iter 27: loss 2.8337, time 463.95ms, mfu 0.08%
iter 28: loss 2.8217, time 490.33ms, mfu 0.08%
iter 29: loss 2.7819, time 473.59ms, mfu 0.09%
iter 30: loss 2.7931, time 490.46ms, mfu 0.08%
iter 31: loss 2.7708, time 490.19ms, mfu 0.08%
