C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLUV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: n_layer = 4
Overriding: n_head = 4
Overriding: n_embd = 128
Overriding: max_iters = 2000
Overriding: lr_decay_iters = 2000
Overriding: dropout = 0.0
tokens per iteration will be: 768
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 0.86M
num decayed parameter tensors: 18, with 868,480 parameters
num non-decayed parameter tensors: 9, with 1,152 parameters
using fused AdamW: False
step 0: train loss 4.1834, val loss 4.1810
iter 0: loss 4.1746, time 11532.47ms, mfu -100.00%
iter 1: loss 4.1648, time 87.26ms, mfu -100.00%
iter 2: loss 4.1712, time 78.98ms, mfu -100.00%
iter 3: loss 4.1263, time 79.11ms, mfu -100.00%
iter 4: loss 4.1099, time 80.50ms, mfu -100.00%
iter 5: loss 4.0868, time 76.41ms, mfu 0.02%
iter 6: loss 4.0243, time 79.11ms, mfu 0.02%
iter 7: loss 3.9934, time 110.74ms, mfu 0.02%
iter 8: loss 3.9179, time 110.03ms, mfu 0.02%
iter 9: loss 3.8806, time 78.54ms, mfu 0.02%
iter 10: loss 3.8324, time 110.14ms, mfu 0.02%
iter 11: loss 3.8117, time 78.61ms, mfu 0.02%
iter 12: loss 3.7801, time 94.54ms, mfu 0.02%
iter 13: loss 3.7252, time 62.96ms, mfu 0.02%
iter 14: loss 3.7441, time 94.33ms, mfu 0.02%
iter 15: loss 3.6867, time 63.03ms, mfu 0.02%
iter 16: loss 3.6255, time 78.63ms, mfu 0.02%
iter 17: loss 3.6629, time 79.06ms, mfu 0.02%
iter 18: loss 3.6367, time 95.32ms, mfu 0.02%
iter 19: loss 3.5998, time 94.13ms, mfu 0.02%
iter 20: loss 3.5840, time 79.25ms, mfu 0.02%
iter 21: loss 3.5729, time 78.73ms, mfu 0.02%
iter 22: loss 3.5978, time 78.69ms, mfu 0.02%
iter 23: loss 3.4923, time 79.29ms, mfu 0.02%
iter 24: loss 3.5917, time 78.86ms, mfu 0.02%
iter 25: loss 3.5069, time 94.27ms, mfu 0.02%
iter 26: loss 3.5317, time 78.62ms, mfu 0.02%
iter 27: loss 3.5124, time 79.24ms, mfu 0.02%
iter 28: loss 3.5640, time 94.77ms, mfu 0.02%
iter 29: loss 3.4554, time 78.57ms, mfu 0.02%
iter 30: loss 3.4772, time 78.59ms, mfu 0.02%
iter 31: loss 3.4152, time 81.23ms, mfu 0.02%
iter 32: loss 3.3893, time 76.31ms, mfu 0.02%
iter 33: loss 3.4265, time 62.77ms, mfu 0.02%
iter 34: loss 3.5218, time 81.87ms, mfu 0.02%
iter 35: loss 3.3668, time 108.08ms, mfu 0.02%
iter 36: loss 3.3880, time 94.73ms, mfu 0.02%
iter 37: loss 3.3581, time 78.87ms, mfu 0.02%
iter 38: loss 3.3432, time 94.58ms, mfu 0.02%
iter 39: loss 3.4453, time 78.79ms, mfu 0.02%
iter 40: loss 3.3519, time 94.51ms, mfu 0.02%
iter 41: loss 3.3333, time 79.69ms, mfu 0.02%
iter 42: loss 3.3799, time 94.43ms, mfu 0.02%
iter 43: loss 3.2150, time 79.01ms, mfu 0.02%
iter 44: loss 3.2447, time 78.71ms, mfu 0.02%
iter 45: loss 3.2434, time 79.59ms, mfu 0.02%
iter 46: loss 3.1515, time 79.34ms, mfu 0.02%
iter 47: loss 3.1392, time 79.91ms, mfu 0.02%
iter 48: loss 3.1700, time 63.79ms, mfu 0.02%
iter 49: loss 3.1032, time 79.50ms, mfu 0.02%
iter 50: loss 3.1075, time 79.51ms, mfu 0.02%
iter 51: loss 3.0893, time 79.62ms, mfu 0.02%
iter 52: loss 3.0803, time 63.20ms, mfu 0.02%
iter 53: loss 2.9811, time 95.92ms, mfu 0.02%
iter 54: loss 2.9513, time 94.56ms, mfu 0.02%
iter 55: loss 2.9962, time 78.72ms, mfu 0.02%
iter 56: loss 2.9160, time 79.20ms, mfu 0.02%
iter 57: loss 2.9716, time 80.63ms, mfu 0.02%
iter 58: loss 3.0096, time 77.36ms, mfu 0.02%
iter 59: loss 2.8975, time 78.98ms, mfu 0.02%
iter 60: loss 2.9507, time 79.39ms, mfu 0.02%
iter 61: loss 2.9897, time 78.90ms, mfu 0.02%
iter 62: loss 2.8457, time 62.79ms, mfu 0.02%
iter 63: loss 2.8479, time 79.30ms, mfu 0.02%
iter 64: loss 2.7511, time 78.83ms, mfu 0.02%
iter 65: loss 2.8983, time 79.57ms, mfu 0.02%
iter 66: loss 2.9150, time 78.77ms, mfu 0.02%
iter 67: loss 2.8642, time 79.39ms, mfu 0.02%
iter 68: loss 2.8309, time 79.40ms, mfu 0.02%
iter 69: loss 2.7696, time 79.17ms, mfu 0.02%
iter 70: loss 2.7302, time 78.63ms, mfu 0.02%
iter 71: loss 2.7527, time 76.95ms, mfu 0.02%
iter 72: loss 2.7287, time 70.63ms, mfu 0.02%
