C:\Users\vinay\Downloads\video_pexels\videos\tensorflow\nanoGPTswiGLUV2\train.py:209: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
C:\Users\vinay\Downloads\video_pexels\videos\venv\Lib\site-packages\torch\amp\grad_scaler.py:136: UserWarning: torch.cuda.amp.GradScaler is enabled, but CUDA is not available.  Disabling.
  warnings.warn(
Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 100
Overriding: log_interval = 1
Overriding: block_size = 128
Overriding: batch_size = 24
Overriding: n_layer = 12
Overriding: n_head = 12
Overriding: n_embd = 384
Overriding: max_iters = 8000
Overriding: lr_decay_iters = 8000
Overriding: dropout = 0.0
tokens per iteration will be: 3,072
found vocab_size = 65 (inside data\shakespeare_char\meta.pkl)
Initializing a new model from scratch
number of parameters: 21.27M
num decayed parameter tensors: 50, with 21,307,776 parameters
num non-decayed parameter tensors: 25, with 9,600 parameters
using fused AdamW: False
step 0: train loss 4.3400, val loss 4.3359
iter 0: loss 4.3490, time 180813.20ms, mfu -100.00%
iter 1: loss 4.0801, time 2715.96ms, mfu -100.00%
iter 2: loss 3.7689, time 2620.76ms, mfu -100.00%
iter 3: loss 3.6072, time 2584.78ms, mfu -100.00%
iter 4: loss 3.4816, time 2581.08ms, mfu -100.00%
iter 5: loss 3.4376, time 2635.57ms, mfu 0.05%
iter 6: loss 3.3834, time 2672.47ms, mfu 0.05%
iter 7: loss 3.3588, time 2606.09ms, mfu 0.05%
iter 8: loss 3.3529, time 2583.21ms, mfu 0.05%
iter 9: loss 3.3422, time 2586.38ms, mfu 0.05%
iter 10: loss 3.3345, time 2615.37ms, mfu 0.05%
iter 11: loss 3.3350, time 2585.56ms, mfu 0.05%
iter 12: loss 3.2288, time 2657.66ms, mfu 0.05%
iter 13: loss 3.1995, time 2639.19ms, mfu 0.05%
iter 14: loss 3.1809, time 2613.97ms, mfu 0.05%
iter 15: loss 3.0821, time 2578.88ms, mfu 0.05%
iter 16: loss 3.1285, time 2561.04ms, mfu 0.05%
iter 17: loss 4.0789, time 2564.27ms, mfu 0.05%
iter 18: loss 3.0857, time 2661.00ms, mfu 0.05%
iter 19: loss 2.9942, time 2910.41ms, mfu 0.05%
iter 20: loss 2.9739, time 2697.73ms, mfu 0.05%
iter 21: loss 2.8822, time 2632.44ms, mfu 0.05%
iter 22: loss 2.8639, time 2646.16ms, mfu 0.05%
iter 23: loss 2.8038, time 2651.68ms, mfu 0.05%
iter 24: loss 2.8485, time 2600.66ms, mfu 0.05%
iter 25: loss 2.7467, time 2618.47ms, mfu 0.05%
iter 26: loss 2.6963, time 2625.30ms, mfu 0.05%
iter 27: loss 2.6559, time 2591.13ms, mfu 0.05%
iter 28: loss 2.7051, time 2592.77ms, mfu 0.05%
iter 29: loss 2.6506, time 3001.16ms, mfu 0.05%
iter 30: loss 2.6812, time 3285.84ms, mfu 0.05%
iter 31: loss 2.6866, time 3208.72ms, mfu 0.05%
iter 32: loss 2.6378, time 3206.47ms, mfu 0.05%
iter 33: loss 2.6391, time 3314.60ms, mfu 0.05%
iter 34: loss 2.6248, time 3567.48ms, mfu 0.05%
iter 35: loss 2.6640, time 3630.78ms, mfu 0.04%
iter 36: loss 2.6289, time 3632.61ms, mfu 0.04%
iter 37: loss 2.6497, time 3617.13ms, mfu 0.04%
iter 38: loss 2.5807, time 3543.42ms, mfu 0.04%
iter 39: loss 2.5869, time 3434.19ms, mfu 0.04%
iter 40: loss 2.5212, time 3493.29ms, mfu 0.04%
iter 41: loss 2.5793, time 3428.00ms, mfu 0.04%
iter 42: loss 2.5770, time 3699.13ms, mfu 0.04%
iter 43: loss 2.5931, time 3388.77ms, mfu 0.04%
iter 44: loss 2.5728, time 3433.76ms, mfu 0.04%
iter 45: loss 2.5928, time 3553.35ms, mfu 0.04%
iter 46: loss 2.5357, time 3668.69ms, mfu 0.04%
